url,label,category
http://facebok-login.xyz/,phishing,obvious
http://amaz0n-verify.top/,phishing,obvious
http://micosoft-secure.gq/,phishing,obvious
http://appl3-id.cf/,phishing,obvious
http://netfliix-update.ml/,phishing,obvious
http://secure-paypal-login.xyz/,phishing,obvious
http://microsoft-verify.top/,phishing,obvious
http://google-signin.gq/,phishing,obvious
http://ebay-account.cf/,phishing,obvious
http://bankofamerica-secure.ml/,phishing,obvious
http://paypal-update.xyz/,phishing,obvious
http://facebook-login.top/,phishing,obvious
http://twitter-verify.gq/,phishing,obvious
http://instagram-id.cf/,phishing,obvious
http://linkedin-secure.ml/,phishing,obvious
http://paypa1-login.com/,phishing,subtle
http://micros0ft.net/login,phishing,subtle
http://gogle-signin.org/,phishing,subtle
http://facebok-login.co/,phishing,subtle
http://amaz0n-update.uk/,phishing,subtle
http://netfliix-account.com/,phishing,subtle
http://apple-id.net/,phishing,subtle
http://ebay-secure.org/,phishing,subtle
http://bankofamerica-login.co.uk/,phishing,subtle
http://paypal-security.uk/,phishing,subtle
http://micosoft365.com/login,phishing,subtle
http://goog1e-signin.net/,phishing,subtle
http://faceb00k-login.org/,phishing,subtle
http://amaz0n-verify.co/,phishing,subtle
http://secure-netfliix.uk/,phishing,subtle
https://github.com/login,legitimate,common
https://login.microsoft.com/,legitimate,common
https://accounts.google.com/,legitimate,common
https://www.amazon.co.uk/,legitimate,common
https://stackoverflow.com/users,legitimate,common
https://www.linkedin.com/login,legitimate,common
https://twitter.com/login,legitimate,common
https://www.instagram.com/accounts/login/,legitimate,common
https://www.ebay.co.uk/,legitimate,common
https://www.paypal.com/,legitimate,common
https://www.gov.uk/login,legitimate,rare_tld
https://www.nic.uk/,legitimate,rare_tld
https://www.parliament.uk/,legitimate,rare_tld
https://www.ac.uk/,legitimate,rare_tld
https://www.sch.uk/,legitimate,rare_tld
https://www.bl.uk/,legitimate,rare_tld
https://www.bbc.co.uk/,legitimate,rare_tld
https://www.nhs.uk/,legitimate,rare_tld
https://www.ox.ac.uk/,legitimate,rare_tld
https://www.cam.ac.uk/,legitimate,rare_tld
https://www.ed.ac.uk/,legitimate,rare_tld
