Url,IsPhishing
https://twitter.com/login,False
https://github.com/,False
https://github.com/account,False
https://instagram.com/,False
https://github.com/signin,False
https://google.com/account,False
https://linkedin.com/profile,False
https://amazon.co.uk/account,False
https://linkedin.com/login,False
https://ebay.co.uk/docs,False
https://amazon.co.uk/account,False
https://microsoft.com/docs,False
https://ebay.co.uk/,False
https://microsoft.com/docs,False
https://github.com/settings,False
https://twitter.com/,False
https://github.com/login,False
https://amazon.co.uk/docs,False
https://ebay.co.uk/login,False
https://linkedin.com/signin,False
https://instagram.com/profile,False
https://github.com/login,False
https://microsoft.com/signin,False
https://twitter.com/login,False
https://google.com/signin,False
https://google.com/docs,False
https://github.com/login,False
https://twitter.com/,False
https://microsoft.com/profile,False
https://instagram.com/docs,False
https://google.com/login,False
https://amazon.co.uk/account,False
https://microsoft.com/signin,False
https://microsoft.com/,False
https://microsoft.com/signin,False
https://stackoverflow.com/,False
https://stackoverflow.com/login,False
https://ebay.co.uk/login,False
https://microsoft.com/login,False
https://twitter.com/login,False
https://paypal.com/settings,False
https://stackoverflow.com/profile,False
https://twitter.com/login,False
https://amazon.co.uk/login,False
https://stackoverflow.com/signin,False
https://linkedin.com/profile,False
https://google.com/settings,False
https://linkedin.com/signin,False
https://microsoft.com/settings,False
https://paypal.com/profile,False
https://instagram.com/account,False
https://github.com/,False
https://amazon.co.uk/signin,False
https://github.com/login,False
https://google.com/docs,False
https://linkedin.com/settings,False
https://instagram.com/docs,False
https://instagram.com/profile,False
https://linkedin.com/settings,False
https://twitter.com/login,False
https://amazon.co.uk/settings,False
https://microsoft.com/account,False
https://google.com/login,False
https://google.com/docs,False
https://stackoverflow.com/login,False
https://paypal.com/login,False
https://github.com/profile,False
https://amazon.co.uk/signin,False
https://ebay.co.uk/login,False
https://microsoft.com/signin,False
https://ebay.co.uk/account,False
https://paypal.com/signin,False
https://google.com/,False
https://twitter.com/docs,False
https://github.com/profile,False
https://github.com/login,False
https://google.com/settings,False
https://paypal.com/signin,False
https://github.com/settings,False
https://github.com/profile,False
https://linkedin.com/,False
https://instagram.com/login,False
https://linkedin.com/profile,False
https://ebay.co.uk/,False
https://amazon.co.uk/settings,False
https://stackoverflow.com/,False
https://paypal.com/signin,False
