url,attack_type,expected
# Homograph Attacks (Digit/Character Substitution)
http://m1crosoft.com/,homograph,true
http://m1crosoft.net/,homograph,true
http://m1crosoft.org/,homograph,true
http://faceb00k.com/,homograph,true
http://faceb00k.net/,homograph,true
http://g00gle.com/,homograph,true
http://g00gle.net/,homograph,true
http://amaz0n.com/,homograph,true
http://amaz0n.net/,homograph,true
http://appl3.com/,homograph,true
http://appl3.net/,homograph,true
http://netfl1x.com/,homograph,true
http://payp4l.com/,homograph,true
http://eb4y.com/,homograph,true
http://l1nkedin.com/,homograph,true
http://tw1tter.com/,homograph,true
http://1nstagram.com/,homograph,true

# TLD Swap Attacks (Legitimate Brand + Risky TLD)
http://microsoft.xyz/,tld_swap,true
http://microsoft.top/,tld_swap,true
http://microsoft.gq/,tld_swap,true
http://microsoft.ml/,tld_swap,true
http://paypal.shop/,tld_swap,true
http://paypal.click/,tld_swap,true
http://paypal.link/,tld_swap,true
http://google.cf/,tld_swap,true
http://google.ga/,tld_swap,true
http://amazon.zulu/,tld_swap,true
http://apple.best/,tld_swap,true
http://netflix.party/,tld_swap,true
http://ebay.quest/,tld_swap,true
http://linkedin.work/,tld_swap,true
http://twitter.review/,tld_swap,true
http://instagram.date/,tld_swap,true
http://github.stream/,tld_swap,true

# Keyword Omission (Brand Spoofing Only – No /login, /secure, etc.)
http://paypa1.com/,keyword_omission,true
http://paypa1.net/,keyword_omission,true
http://appl3.org/,keyword_omission,true
http://micosoft.com/,keyword_omission,true
http://facebok.net/,keyword_omission,true
http://gogle.org/,keyword_omission,true
http://amaz0n.co.uk/,keyword_omission,true
http://netfliix.com/,keyword_omission,true
http://ebayy.net/,keyword_omission,true
http://l1nked1n.com/,keyword_omission,true
http://tw1tt3r.net/,keyword_omission,true
http://1nstagr4m.org/,keyword_omission,true
http://g1thub.com/,keyword_omission,true
http://sl4ck.com/,keyword_omission,true
http://d1scord.net/,keyword_omission,true
http://br1dg3.com/,keyword_omission,true
http://zoomm.net/,keyword_omission,true
